file,file_size_mb,num_entities,processed_revisions,avg_revisions_per_entity,file_reading_sec,total_process_time_sec,peak_memory_mb
wikidatawiki-20250601-pages-meta-history13.xml-p21931611p22017551.bz2,249.23645877838135,49747,1498818,30.128811787645486,479.0414135456085,590.938472032547,3677.6171875
wikidatawiki-20250601-pages-meta-history9.xml-p12293632p12341782.bz2,472.00114345550537,40257,1499115,37.23861688650421,902.8122699260712,903.7317111492157,1860.66796875
wikidatawiki-20250601-pages-meta-history27.xml-p124430289p124657562.bz2,404.4321346282959,216171,1462836,6.7670316554949554,1280.3284149169922,1334.5762205123901,3252.4140625
wikidatawiki-20250601-pages-meta-history21.xml-p50283243p50392010.bz2,438.1871814727783,108577,1498742,13.803494294371736,1168.5693519115448,1298.7360980510712,6205.0546875
wikidatawiki-20250601-pages-meta-history20.xml-p42769929p42824263.bz2,765.973090171814,54094,849142,15.697526527895885,1843.740969657898,2201.8833734989166,12393.16796875
wikidatawiki-20250601-pages-meta-history22.xml-p52522438p52586261.bz2,751.5758695602417,63434,927926,14.628211999873885,1938.2956938743591,2274.8291730880737,11812.8359375
wikidatawiki-20250601-pages-meta-history11.xml-p17259517p17300036.bz2,437.4976100921631,34598,1467083,42.40369385513613,763.0279085636139,763.3323938846588,1990.8828125
wikidatawiki-20250601-pages-meta-history21.xml-p48551992p48618669.bz2,837.7697525024414,64674,1194212,18.465101895661316,1773.588855266571,2205.428050518036,12068.59375
wikidatawiki-20250601-pages-meta-history4.xml-p2358366p2380916.bz2,668.4459991455078,21949,1499860,68.33386486855893,1349.9515872001648,1351.3242492675781,2289.2265625
wikidatawiki-20250601-pages-meta-history16.xml-p28623900p28672321.bz2,757.669171333313,46577,1469372,31.547158468772142,1237.2127349376678,1365.5750150680542,4922.01953125
wikidatawiki-20250601-pages-meta-history14.xml-p23357661p23392626.bz2,306.4966230392456,34530,1497730,43.37474659716189,575.4375007152557,631.6081142425537,3045.953125
wikidatawiki-20250601-pages-meta-history5.xml-p3200555p3225686.bz2,546.3322458267212,23706,1499582,63.25748755589302,1065.5489311218262,1068.4067301750183,19326.79296875
wikidatawiki-20250601-pages-meta-history2.xml-p1050568p1069828.bz2,834.3568048477173,18442,1501160,81.39898058778874,1732.4620151519775,1733.7509603500366,2215.703125
wikidatawiki-20250601-pages-meta-history26.xml-p86162328p86241875.bz2,1522.7535753250122,79281,1076295,13.575699095621902,2206.6331725120544,2370.11342048645,60100.9140625
wikidatawiki-20250601-pages-meta-history19.xml-p38257919p38285890.bz2,836.7106876373291,27942,550565,19.70385083387016,1547.6314306259155,1954.1779577732086,13651.64453125
wikidatawiki-20250601-pages-meta-history27.xml-p90550616p90675131.bz2,1181.1103992462158,124141,1440125,11.600720148862987,2166.7369821071625,2310.9814138412476,17830.24609375
wikidatawiki-20250601-pages-meta-history27.xml-p96049923p96132462.bz2,529.6202049255371,75713,1485840,19.624635135313618,929.6882061958313,976.7289476394653,4195.88671875
wikidatawiki-20250601-pages-meta-history22.xml-p52649969p52714177.bz2,898.0228624343872,63545,880560,13.857266504052246,2000.647424697876,2337.228541135788,17638.1484375
wikidatawiki-20250601-pages-meta-history5.xml-p3172852p3200554.bz2,572.2553577423096,25866,1497811,57.90655687002242,1102.5479383468628,1108.4569809436798,10036.6171875
wikidatawiki-20250601-pages-meta-history25.xml-p70975255p70989008.bz2,704.2725515365601,13727,447801,32.62191301813943,1531.0004267692566,1726.795243024826,19376.96875
wikidatawiki-20250601-pages-meta-history27.xml-p101940590p102057976.bz2,2207.57652759552,108218,1452011,13.417462898963205,2020.6029465198517,2141.003054380417,25736.06640625
wikidatawiki-20250601-pages-meta-history7.xml-p7691421p7728218.bz2,456.0188274383545,32706,1498679,45.822754234696994,833.9251425266266,835.4855227470398,17851.4296875
wikidatawiki-20250601-pages-meta-history21.xml-p47410474p47471871.bz2,744.7277231216431,61324,860731,14.035793490313743,2104.908045053482,2458.963193655014,13515.0078125
wikidatawiki-20250601-pages-meta-history20.xml-p43096836p43151112.bz2,857.7889347076416,52766,1023043,19.38829928362961,1620.3658382892609,2092.2688732147217,21732.46875
wikidatawiki-20250601-pages-meta-history26.xml-p86471192p86481276.bz2,2173.0231952667236,10076,157659,15.64698292973402,1637.6823017597198,2860.1400377750397,87849.984375
wikidatawiki-20250601-pages-meta-history5.xml-p3898621p3927129.bz2,616.6183881759644,27122,1466568,54.0730034658211,1044.1249175071716,1050.703322649002,19623.62890625
wikidatawiki-20250601-pages-meta-history25.xml-p69414645p69554097.bz2,699.72057056427,139023,1425123,10.250987246714573,2286.3665688037872,2495.6012580394745,6043.68359375
wikidatawiki-20250601-pages-meta-history20.xml-p45515399p45527040.bz2,129.25434017181396,11623,176402,15.176976684160715,283.58005023002625,395.44955563545227,3871.34765625
wikidatawiki-20250601-pages-meta-history18.xml-p35715893p35740196.bz2,755.5207033157349,24277,564144,23.23779709189768,1594.7876498699188,1978.9685726165771,14485.0625
wikidatawiki-20250601-pages-meta-history13.xml-p22740049p22836126.bz2,111.52100276947021,94729,728675,7.69220618817891,327.586407661438,357.379273891449,21219.80078125
wikidatawiki-20250601-pages-meta-history11.xml-p16579272p16613739.bz2,914.121973991394,30138,1464305,48.58666799389475,1164.1050148010254,1290.4621617794037,9444.66015625
wikidatawiki-20250601-pages-meta-history26.xml-p81766519p81833343.bz2,467.7620668411255,66343,1470942,22.171773962588368,969.4875972270966,1132.749837398529,24001.984375
wikidatawiki-20250601-pages-meta-history24.xml-p61951142p61997201.bz2,1254.7972135543823,45829,624700,13.631106941019878,1840.1124997138977,2309.0424098968506,28006.68359375
wikidatawiki-20250601-pages-meta-history17.xml-p30612312p30679197.bz2,885.9751434326172,64780,1469156,22.67916023464032,1559.4602801799774,1823.5630149841309,10750.68359375
wikidatawiki-20250601-pages-meta-history18.xml-p32283583p32378018.bz2,739.6752624511719,80442,1498633,18.62998185027722,1456.5044746398926,1615.1466584205627,5029.1171875
wikidatawiki-20250601-pages-meta-history14.xml-p24310806p24351721.bz2,609.3414115905762,40668,1498741,36.85307858758729,2560.9981265068054,3299.4289226531982,15953.74609375
wikidatawiki-20250601-pages-meta-history23.xml-p57960133p58073862.bz2,866.4604682922363,112793,1490952,13.218479870204712,1988.1645984649658,2083.7818264961243,18016.3828125
wikidatawiki-20250601-pages-meta-history3.xml-p1350937p1371693.bz2,853.2757968902588,20302,1499877,73.87828785341345,1590.0173923969269,1598.307621717453,10205.97265625
